# file	mtime	markers	markers_present	verdict	examples
common/speculative.cpp	2026-09-13 10:31	1	0	OUT_EVIDENCE(标记全不命中)	
conversion/base.py	2026-09-11 06:55	0	0	IN_CERTAIN(时间戳)	
convert_hf_to_gguf.py	2026-09-10 22:31	0	0	IN_CERTAIN(时间戳)	
ggml/include/ggml.h	2026-09-10 21:14	0	0	IN_CERTAIN(时间戳)	
ggml/src/ggml-common.h	2026-09-10 21:59	0	0	IN_CERTAIN(时间戳)	
ggml/src/ggml-cuda/common.cuh	2026-09-16 18:52	0	0	UNKNOWN(无高信号标记)	
ggml/src/ggml-cuda/convert.cu	2026-09-10 23:14	0	0	IN_CERTAIN(时间戳)	
ggml/src/ggml-cuda/dequantize.cuh	2026-09-11 07:24	0	0	IN_CERTAIN(时间戳)	
ggml/src/ggml-cuda/fattn-mma-f16.cuh	2026-09-15 12:06	3	0	OUT_EVIDENCE(标记全不命中)	
ggml/src/ggml-cuda/fattn.cu	2026-09-15 12:01	0	0	UNKNOWN(无高信号标记)	
ggml/src/ggml-cuda/ggml-cuda.cu	2026-09-14 09:16	2	2	IN_EVIDENCE(标记命中)	GGML_FP8_FORCE_F16,GGML_OP_PROF
ggml/src/ggml-cuda/mmq.cu	2026-09-16 20:57	1	0	OUT_EVIDENCE(标记全不命中)	
ggml/src/ggml-cuda/mmq.cuh	2026-09-13 21:35	0	0	UNKNOWN(无高信号标记)	
ggml/src/ggml-cuda/mmvq.cu	2026-09-16 20:57	3	0	OUT_EVIDENCE(标记全不命中)	
ggml/src/ggml-cuda/mmvq.cuh	2026-09-13 11:22	1	1	IN_EVIDENCE(标记命中)	GGML_MMVQ_MAX
ggml/src/ggml-cuda/ssm-conv.cu	2026-09-15 05:12	0	0	UNKNOWN(无高信号标记)	
ggml/src/ggml-cuda/vecdotq.cuh	2026-09-12 16:05	0	0	IN_CERTAIN(时间戳)	
ggml/src/ggml-quants.c	2026-09-10 21:53	0	0	IN_CERTAIN(时间戳)	
ggml/src/ggml-quants.h	2026-09-10 21:53	0	0	IN_CERTAIN(时间戳)	
ggml/src/ggml.c	2026-09-10 21:53	0	0	IN_CERTAIN(时间戳)	
gguf-py/gguf/constants.py	2026-09-10 21:56	0	0	IN_CERTAIN(时间戳)	
gguf-py/gguf/quants.py	2026-09-11 00:06	0	0	IN_CERTAIN(时间戳)	
src/models/delta-net-base.cpp	2026-09-15 05:12	1	0	OUT_EVIDENCE(标记全不命中)	
src/models/models.h	2026-09-15 05:08	0	0	UNKNOWN(无高信号标记)	
src/models/qwen35.cpp	2026-09-15 05:12	1	0	OUT_EVIDENCE(标记全不命中)	
tools/server/server-context.cpp	2026-09-13 08:40	1	0	OUT_EVIDENCE(标记全不命中)	
ggml/src/ggml-cuda/fp8-cublaslt.cu	2026-09-11 09:11	1	1	IN_CERTAIN(时间戳)	GGML_FP8_PROF
ggml/src/ggml-cuda/fp8-mma.cuh	2026-09-10 21:21	0	0	IN_CERTAIN(时间戳)	
ggml/src/ggml-cuda/fp8-mmq-production.cu	2026-09-10 21:42	0	0	IN_CERTAIN(时间戳)	
ggml/src/ggml-cuda/fp8-mmq.cu	2026-09-10 21:22	0	0	IN_CERTAIN(时间戳)	
ggml/src/ggml-cuda/t4_mmq.cu	2026-09-16 21:56	8	0	OUT_EVIDENCE(标记全不命中)	
ggml/src/ggml-cuda/t4_mmq.cuh	2026-09-16 20:56	0	0	UNKNOWN(无高信号标记)	
ggml/src/ggml-cuda/t4_mmq_pred.h	2026-09-16 20:56	0	0	UNKNOWN(无高信号标记)	
