# file	mtime	status	note
tools/server/server-context.cpp	2026-09-13 08:40	M	构建后改动：不含在随包二进制里
common/speculative.cpp	2026-09-13 10:31	M	构建后改动：不含在随包二进制里
ggml/src/ggml-cuda/mmvq.cuh	2026-09-13 11:22	M	构建后改动：不含在随包二进制里
ggml/src/ggml-cuda/mmq.cuh	2026-09-13 21:35	M	构建后改动：不含在随包二进制里
ggml/src/ggml-cuda/ggml-cuda.cu	2026-09-14 09:16	M	构建后改动：不含在随包二进制里
src/models/models.h	2026-09-15 05:08	M	构建后改动：不含在随包二进制里
ggml/src/ggml-cuda/ssm-conv.cu	2026-09-15 05:12	M	构建后改动：不含在随包二进制里
src/models/delta-net-base.cpp	2026-09-15 05:12	M	构建后改动：不含在随包二进制里
src/models/qwen35.cpp	2026-09-15 05:12	M	构建后改动：不含在随包二进制里
ggml/src/ggml-cuda/fattn.cu	2026-09-15 12:01	M	构建后改动：不含在随包二进制里
ggml/src/ggml-cuda/fattn-mma-f16.cuh	2026-09-15 12:06	M	构建后改动：不含在随包二进制里
ggml/src/ggml-cuda/common.cuh	2026-09-16 18:52	M	构建后改动：不含在随包二进制里
ggml/src/ggml-cuda/t4_mmq.cuh	2026-09-16 20:56	??	构建后新增：实验件，未随包发布
ggml/src/ggml-cuda/t4_mmq_pred.h	2026-09-16 20:56	??	构建后新增：实验件，未随包发布
ggml/src/ggml-cuda/mmq.cu	2026-09-16 20:57	M	构建后改动：不含在随包二进制里
ggml/src/ggml-cuda/mmvq.cu	2026-09-16 20:57	M	构建后改动：不含在随包二进制里
ggml/src/ggml-cuda/t4/	2026-09-16 21:52	??	构建后新增：实验件，未随包发布
ggml/src/ggml-cuda/t4_mmq.cu	2026-09-16 21:56	??	构建后新增：实验件，未随包发布
